thread,activation,varDict,count,lock,kind,scope,executable,line,prefix,source,package,raw
"T1","A14","V6","00001","*","method","infinity","INIT",".",">=>","OBJECTNAME <= ""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">>>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">=>","DIRECTION <= ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT","76","*-*","self~objectName = objectName","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">V>","SELF => ""an infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">V>","OBJECTNAME => ""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">A>","""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT","77","*-*","self~direction = direction","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">V>","SELF => ""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">V>","DIRECTION => ""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">A>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A14","V6","00001","*","method","infinity","INIT",".",">>>","""1""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">M>","""NEW"" => ""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">A>","""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">>>","""The positive infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE","33","*-*","self~complex =  self~new(""The complex infinity"",   0)","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">V>","SELF => ""The infinity class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">V>","SELF => ""The infinity class""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">L>","""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">A>","""The complex infinity""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">L>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A12","V4","00001","*","method","infinity","INITIALIZE",".",">A>","""0""","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
"T1","A15","V7",".",".","method","infinity","INIT",".",">I>",".","/local/rexx/oorexx/executor/sandbox/jlf/samples/extension/infinity.cls",".",
